"General", "Aviation"
"A319", "BEL"
"A319", "BER"
"A319", "BHP"
"A319", "BKP"
"A319", "BMA"
"A319", "BMI"
"A319", "BON"
"A319", "BRS"
"A319", "CCA"
"A319", "CEB"
"A319", "CES"
"A319", "CHH"
"A319", "CSA"
"A319", "CSC"
"A319", "CSN"
"A319", "CTM"
"A319", "CTN"
"A319", "CYP"
"A319", "DAL"
"A319", "DCS"
"A319", "DLH"
"A319", "DNV"
"A319", "DRK"
"A319", "EIN"
"A319", "ERT"
"A319", "ETD"
"A319", "EWG"
"A319", "EZS"
"A319", "EZY"
"A319", "FFT"
"A319", "FIN"
"A319", "FLO"
"A319", "GFA"
"A319", "GHL"
"A319", "GLG"
"A319", "GMI"
"A319", "GSW"
"A319", "GWI"
"A319", "HAY"
"A319", "IBE"
"A319", "ISS"
"A319", "KAC"
"A319", "KFR"
"A319", "KKK"
"A319", "KZR"
"A319", "LAN"
"A319", "LBY"
"A319", "LZB"
"A319", "MAU"
"A319", "MGL"
"A319", "MLM"
"A319", "MOV"
"A319", "MXA"
"A319", "NKS"
"A319", "NLY"
"A319", "NMB"
"A319", "NWA"
"A319", "OAL"
"A319", "ONE"
"A319", "PAL"
"A319", "QTR"
"A319", "RBA"
"A319", "RJA"
"A319", "RLU"
"A319", "RNV"
"A319", "ROU"
"A319", "SAA"
"A319", "SAS"
"A319", "SBI"
"A319", "SDM"
"A319", "SLK"
"A319", "SVR"
"A319", "SWR"
"A319", "TAE"
"A319", "TAI"
"A319", "TAK"
"A319", "TAM"
"A319", "TAP"
"A319", "TAR"
"A319", "TCW"
"A319", "THO"
"A319", "THY"
"A319", "UAL"
"A319", "UKN"
"A319", "USA"
"A319", "VLG"
"A319", "VOI"
"A319", "VRD"
"A319", "VRE"
"A319", "WGT"
"A319", "WHT"
"A320", "AAF"
"A320", "AAR"
"A320", "AAW"
"A320", "ABY"
"A320", "ACA"
"A320", "ACI"
"A320", "ADH"
"A320", "ADR"
"A320", "AEE"
"A320", "AEW"
"A320", "AFF"
"A320", "AFL"
"A320", "AFR"
"A320", "AHY"
"A320", "AIC"
"A320", "AIJ"
"A320", "AIQ"
"A320", "AIS"
"A320", "ALK"
"A320", "AMC"
"A320", "AMZ"
"A320", "ANR"
"A320", "ANZ"
"A320", "ARE"
"A320", "ARG"
"A320", "ARR"
"A320", "ART"
"A320", "ASL"
"A320", "AUA"
"A320", "AVA"
"A320", "AWQ"
"A320", "AXM"
"A320", "AZA"
"A320", "AZI"
"A320", "BAB"
"A320", "BAL"
"A320", "BAW"
"A320", "BEL"
"A320", "BER"
"A320", "BGH"
"A320", "BHP"
"A320", "BKP"
"A320", "BMA"
"A320", "BTV"
"A320", "BWG"
"A320", "CCA"
"A320", "CCM"
"A320", "CES"
"A320", "CFG"
"A320", "CGL"
"A320", "CQN"
"A320", "CSA"
"A320", "CTN"
"A320", "CTO"
"A320", "CTV"
"A320", "CYP"
"A320", "DAL"
"A320", "DLH"
"A320", "DSM"
"A320", "DTR"
"A320", "DUB"
"A320", "EAA"
"A320", "ECN"
"A320", "EDW"
"A320", "EIN"
"A320", "ETD"
"A320", "EVE"
"A320", "EZS"
"A320", "EZY"
"A320", "FEI"
"A320", "FFT"
"A320", "FHE"
"A320", "FIN"
"A320", "GFA"
"A320", "GLG"
"A320", "GOW"
"A320", "GWI"
"A320", "HAN"
"A320", "HAY"
"A320", "HCC"
"A320", "HIS"
"A320", "HVN"
"A320", "IAW"
"A320", "IBE"
"A320", "IBS"
"A320", "IDA"
"A320", "IGO"
"A320", "IRA"
"A320", "IRM"
"A320", "ISR"
"A320", "IWD"
"A320", "IYE"
"A320", "IZM"
"A320", "JAV"
"A320", "JBU"
"A320", "JGO"
"A320", "JJP"
"A320", "JKK"
"A320", "JSA"
"A320", "JST"
"A320", "JZR"
"A320", "KAC"
"A320", "KGL"
"A320", "KHO"
"A320", "KKK"
"A320", "KNE"
"A320", "KZR"
"A320", "LAA"
"A320", "LAN"
"A320", "LBY"
"A320", "LLC"
"A320", "LLM"
"A320", "LMU"
"A320", "LNE"
"A320", "LZB"
"A320", "MDL"
"A320", "MEA"
"A320", "MLD"
"A320", "MON"
"A320", "MPD"
"A320", "MSC"
"A320", "MSR"
"A320", "MXA"
"A320", "NIA"
"A320", "NKS"
"A320", "NLV"
"A320", "NLY"
"A320", "NMA"
"A320", "NVD"
"A320", "NWS"
"A320", "NWW"
"A320", "OAL"
"A320", "OHY"
"A320", "ONE"
"A320", "PAL"
"A320", "PIA"
"A320", "PVI"
"A320", "QTR"
"A320", "RBG"
"A320", "RJA"
"A320", "RYW"
"A320", "SAB"
"A320", "SAS"
"A320", "SAT"
"A320", "SAU"
"A320", "SBI"
"A320", "SDM"
"A320", "SLK"
"A320", "SVA"
"A320", "SVR"
"A320", "SWE"
"A320", "SWR"
"A320", "SYA"
"A320", "SYR"
"A320", "TAI"
"A320", "TAM"
"A320", "TAP"
"A320", "TCW"
"A320", "TCX"
"A320", "THA"
"A320", "THY"
"A320", "TOM"
"A320", "TVS"
"A320", "UAL"
"A320", "UDC"
"A320", "USA"
"A320", "UZB"
"A320", "VIM"
"A320", "VIR"
"A320", "VIV"
"A320", "VLG"
"A320", "VLK"
"A320", "VOI"
"A320", "VRD"
"A320", "VVC"
"A320", "WAJ"
"A320", "WAN"
"A320", "WAU"
"A320", "WHT"
"A320", "WOW"
